Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"The Effect of Cajanus Cajan Seeds Extraction on Some Haematological Parameters Among Haemorrhagical Anaemic Rats in Khartoum–Sudan","Cajanus cajan seeds extract significantly improves haematological parameters in hemorrhagic anaemic rats, suggesting potential therapeutic applications for anaemia treatment.","Khalid Mohamed Khalid Elhussain, Salma HaiderMohmmed Abu Algasim, TasbihElhadi Mohammed Ahmed, Weam Mustafa Hasab Alrasol, Wegdan Ibrahim Ahmmed, Nora Nahal Bouderba",2020,3,"Worldwide different plants were studied for their role in the treatment
and correction of different types of anaemia’s. The Medicinal and Aromatic Plants
Research Institute (MAPRI) of the National Centre for Research (NCR) plays major role
in medicinal and aromatic plants investigation, determination of therapeutic properties
and documented in Sudan.","","Biomedical Journal of Scientific & Technical Research","","10.26717/bjstr.2020.25.004220","https://consensus.app/papers/the-effect-of-cajanus-cajan-seeds-extraction-on-some-elhussain-algasim/a31f249241ec511aabbcb22037fe47e9/"
"Acute and sub-chronic oral exposure to ethanolic seed extract of Cajanus Cajan Millsp in rats: Biochemical and histological studies.","Oral treatment with Cajanus cajan ethanol seed extract is relatively safe but may cause side effects like lymphocytopenia and granulocytosis, so it should be consumed with caution.","T. Olubodun-Obadun, I. Ishola, Olabode A. Kusamotu, Collins I. Ebu, O. Adeyemi",2023,0,"","non-randomized experimental study","Scientific African","1","10.1016/j.sciaf.2023.e01916","https://consensus.app/papers/acute-and-subchronic-oral-exposure-to-ethanolic-seed-olubodun-obadun-ishola/1af816ced47d5329827fddcfe704f077/"
"Haematological effect of a bi-herbal composition on phenyl hydrazine-induced anaemia in Albino Wistar rats","A biherbal composition of Picralima nitida and Cymbopogon citratus significantly altered haematological parameters in albino Wistar rats treated with phenylhydrazine-induced anaemia.","P. Obazelu, U. C. Odionyenma",2024,0,"Picralima nitida and Cymbopogon citratus are plants known for their anti-inflammatory, antioxidant, and haematopoietic properties. This study aimed to determine the haematological effect of a dual herb composition of these plants on phenylhydrazine-induced anaemia in albino Wistar rats. Sixty adult male rats were divided into six groups: control, phenylhydrazine group, ferrous sulphate group, and three groups receiving phenylhydrazine plus 100 mg/kg, 200 mg/kg, and 400 mg/kg of the extract. Haematological parameters were measured using an autoanalyzer and analyzed with SPSS software V22. The red blood cell count was significantly higher in the control group compared to other groups (p<0.05). Haemoglobin was significantly higher in the control, ferrous sulphate, 100 mg/kg, and 400 mg/kg groups compared to the phenylhydrazine and 200 mg/kg groups (p<0.05). Mean cell volume was significantly lower in the control group compared to all other groups (p<0.05). Mean cell haemoglobin was significantly lower in the control group compared to other groups while MCHC was higher in the control group compared to phenylhydrazine, ferrous sulphate, 100mg/kg and 200mg/kg groups (p<0.05). RDWSD was significantly lower in the control group compared to all other groups (p<0.05). Total white blood cell count was significantly lower in the control and phenylhydrazine groups compared to others (p<0.05). Lymphocyte was significantly higher in the ferrous sulphate group compared to others, while monocyte count was significantly lower in the control, phenylhydrazine, and ferrous sulphate groups (p<0.05). Neutrophil was significantly higher in the control and phenylhydrazine groups (p<0.05). Platelet was significantly lower in the control group compared to ferrous sulphate, 200 mg/kg, and 400 mg/kg groups (p<0.05). Mean platelet volume was significantly lower in the control, phenylhydrazine, ferrous sulphate, and 100 mg/kg groups compared to the 400 mg/kg group (p<0.05). The study concludes that the biherbal formulation of the plants caused significant alterations in haematological parameters.","rct","Dutse Journal of Pure and Applied Sciences","","10.4314/dujopas.v10i3a.30","https://consensus.app/papers/haematological-effect-of-a-biherbal-composition-on-phenyl-obazelu-odionyenma/ec41429e75cb53a2a3d676eac196a40a/"
"Antianemic activity of polyherbal formulation, Raktavardhak Kadha, against phenylhydrazine-induced anemia in rats","Raktavardhak Kadha (RK) shows antianemic activity in rats, likely due to its iron content and ability to prevent hemolysis.","P. A. Sheth, A. Pawar, C. Mote, Chandrakant More",2021,34,"","non-randomized experimental study","Journal of Ayurveda and Integrative Medicine","2","10.1016/j.jaim.2021.02.009","https://consensus.app/papers/antianemic-activity-of-polyherbal-formulation-sheth-pawar/c9e3b2b2cbdc591497f0b44b800ce2ec/"
"Anti-Anemic Potential of a Herbal Recipe Against Phenylhydrazine-Induced Anemia in Rats","A herbal recipe composed of Xylopia aethiopica, Zanthoxylum leprieurii, and Harungara madagascariensis effectively treats phenylhydrazine-induced anemia in rats, increasing hemoglobin, red blood cell count, and hema","Tatiana Kangah Mireille Kple, Joel Akakpo-Akue, Konan Armand Marcelin Kouassi, S. Ouattara, Gbe Kouakou N’Dri Ange Konan, Diane Koulai, Larissa Adjoua Kouadio, Chiaye Claire Antoinette Yapo-Crezoit, Adou Koffi Mattieu Kra, Allico Joseph Djaman",2023,3,"Anemia is characterized by an abnormal decrease in the level of hemoglobin or the number of red blood cells in the blood. It is a public health problem that mainly affects pregnant women and young children. In the present study, the objective was to evaluated the anti-anemic potential of a recipe composed of three medicinal plants, <i>Xylopia aethiopica </i>(Dunal) A. Rich<i>, Zanthoxylum leprieurii (GUILL) </i>and<i> Harungara madagascariensis (LAM), </i>used to treat sickle cell anemia in rats. Aqueous and hydroethanol extracts of recipe composed were first prepared and quantitative phytochemical tests were carried out. Then, the anti-anemic activity of the recipe extracts was assessed. The anemia was induced in animals by intraperitoneal injection of phenylhydrazine at a repeated dose of 40 mg/kg bw for two days. Treatment was carried out with the aqueous and hydroethanol extracts of the plant recipe at doses of 400 and 800 mg/kg bw. The obtained results indicated that recipe composed contains total phenols (43.31±0.92 mg GAE/g and 33.82±0.6 mg GAE /g of dry weight), total flavonoids (17.07±0.89 mg QE and 19.76±1.15 mg QE/g of dry weight) and total tannin (8.65±0.01 mg QE and 26.5±0.95 mg Cat E/g of dry weight) in decocted and hydroethanol extracts respectively. The anemia was effectively corrected after 21 days of oral administration of the extracts to the rats. The extracts significantly increased hemoglobin (P < 0.05), red blood cell count (P < 0.001), and hematocrit (P < 0.01) as early as the 7<sup>th</sup> days of treatment compared with untreated controls. These results show that the plant recipe composed of <i>Xylopia aethiopica, Zanthoxylum leprieurii </i>and<i> Harungara madagascariensis </i>possess antianemic properties.","non-randomized experimental study","Journal of Diseases and Medicinal Plants","","10.11648/j.jdmp.20230902.12","https://consensus.app/papers/antianemic-potential-of-a-herbal-recipe-against-kple-akakpo-akue/61e2dec3a527532f82004e1552746f18/"
"Hematopoietic effect of echinochrome on phenylhydrazine-induced hemolytic anemia in rats","Echinochrome, found in sea urchin shells and spines, effectively treats phenylhydrazine-induced hemolytic anemia in rats by increasing blood cell counts and reducing inflammation.","Mona S. E. F. El-Shehry, Rafa A. Amrymi, T. Atia, B. M. M. Lotfy, Salma H A Ahmed, S. A. Qutb, S. B. Ali, A. S. Mohamed, M. R. Mousa, A. Damanhory, Mostafa E. Metawee, Hader I. Sakr",2023,7,"Background: Hemolytic anemia (HA) is a serious health condition resulting from reduced erythrocytes' average life span. Echinochrome (Ech) is a dark-red pigment found in shells and spines of sea urchins.

Aim: Studying the potential therapeutic effect of Ech on phenylhydrazine (PHZ)-induced HA in rats.

Methods: Eighteen rats were divided into three groups (n = 6): the control group, the phenylhydrazine-induced HA group and the Ech group, injected intraperitoneally with PHZ and supplemented with oral Ech daily for 6 days.

Results: Ech resulted in a considerable increase in RBCs, WBCs, and platelets counts, hemoglobin, reduced glutathione, catalase, and glutathione-S-transferase levels, and a significant decrease in aspartate & alanine aminotransferases, alkaline phosphatase, gamma-glutamyl transferase, bilirubin, creatinine, urea, urate, malondialdehyde & nitric oxide levels in anemic rats. Histopathological examination of liver and kidney tissue samples showed marked improvement.

Conclusion: Ech ameliorated phenylhydrazine-induced HA with a hepatorenal protective effect owing to its anti-inflammatory and antioxidant properties.

© 2023 El-Shehry et al.","rct","PeerJ","1","10.7717/peerj.16576","https://consensus.app/papers/hematopoietic-effect-of-echinochrome-on-el-shehry-amrymi/389bcc18d6865aa1b3ce6c09b66e716a/"
"Biochemical Potentials of Ethanol Leaf Extract of C. aconitifolius in Phenylhydrazine Induced Anemia in Rats","Ethanol leaf extract of Cnidoscolus aconitifolius (EECA) leaves effectively restores haematological parameters in phenylhydrazine-induced anemic rats, with 100 mg/kg bodyweight yielding the best results.","O. C. Ezeigwe, Valentine Nwobodo, E. L. Iloanya",2025,0,"Aim: Anemia is a common health challenge caused by a decrease in hemoglobin concentration, packed cell volume and red blood cells. Some medicinal plants have antianaemic properties and can be used as a remedy to treat anemia. This study investigates the anti-anemic properties of ethanol extract of Cnidoscolus aconitifolius (EECA) leaves in phenylhydrazine-induced anemic rats. 
Methods: Acute toxicity (LD50) was done using Lorke’s method. Twenty-five (25) male Wistar albino rats were randomly divided into five groups of five rats each and used for the antianemic studies. Group A, B, and C served as the normal control, anemic untreated (negative control), and anemic group treated with 1ml/kg emzoron (positive control), respectively. Groups D and E were treated with 100mg/kg and 200mg/kg of ethanol extract of C. aconitifolius respectively by oral gavage once a day for 14 days. Anemia was induced by intraperitoneal injection of 20 mg/kg phenylhydrazine for four consecutive days in groups B to E. At the end of 14 days treatment, biochemical analysis were done using standard diagnostic methods and haematological parameters were analysed using an automated haematology analyzer (Mindray-BC-5300). 
Results: The result of the LD50 study showed that the extract may not be very toxic. The extract was able to restore the impaired biochemical parameters caused by phenylhydrazine to normal after 14 days of treatment. The antianemic effects of EECA was demonstrated by significant increases (p<0.05) in the hemoglobin (HGB), packed cell volume (PCV) and red blood cell (RBC) count of the extract-treated groups after 14 days of treatment compared to the anemic untreated control group. There was a better increase in the hemoglobin levels of 100 mg/kg EECA (13.40±0.35) compared to 200 mg/kg EECA (12.50±0.45). Also, the packed cell volume increased more in 100 mg/kg EECA (40.97±0.87) compared to 200 mg/kg EECA (38.73±1.63). A better increase was observed in the red blood cell count of 100 mg/kg EECA (5.83±0.35) compared to 200 mg/kg EECA (5.55±0.44). 
Conclusion: The EECA was well tolerated by the animals as was seen from the results of the biochemical parameters. The extract also improved the haematological parameters of the animals. The animals that were treated with 100 mg/kg bodyweight yielded a far much better result by totally restoring the haematological parameters of the phenylhydrazine-induced anemic rats to normal without any observable alterations in the biochemical parameters investigated.","rct","International Journal of Biochemistry Research &amp; Review","","10.9734/ijbcrr/2025/v34i41017","https://consensus.app/papers/biochemical-potentials-of-ethanol-leaf-extract-of-c-ezeigwe-nwobodo/d031ab5f351d554a8e241ead1247f9b1/"
"Anti-Anaemic And Hepato–Renal Activities Of Ethanol Leaf Extract Of Alchornea Cordifolia In Phenyl Hydrazine Induced-Anaemic Wistar Rats","Ethanol leaf extract of Alchornea cordifolia enhances anti-anaemic and hepatoprotective effects in phenyl hydrazine-induced anaemia, possibly due to its anti-inflammatory and antioxidant properties.","Audu Jankada P., Ezugwu Hilary C., Ipav Selumun S.",2022,1,"The effect of ethanol leaf extract of Alchornea cordifolia on some biochemical parameters in phenyl hydrazine-induced anaemic Wistar rats was studied. A total of thirty-six (36) Wistar rats weighing 95-200 g were selected for this study and randomly divided into six groups of six animals per group. Group A (normal control), group B (negative or anaemic) control, group C (standard), group D, E and F (treated groups). Animals in groups B, C, D, E and F were induced with anaemia via intraperitoneal (I.P.) injection of 10mg/kg body weight phenyl hydrazine (PHZ) for 3 days and group A received distilled water in place of the PHZ for the same duration. After the induction, group A and B rats received oral administration 0.9w/v normal saline solution while groups C, D, E and F received oral administration of enzoron (10mg/kg.bwt), 100, 200 and 400 mg/kg.bwt of extract respectively for 14 days. The percentage yield of the extract was determined to be 18%. Phytochemical screening revealed the presence of saponins, carbohydrates, protein, alkaloids, phytosterols, phynols, flavonoids and glycosides at varying concentrations.A dose of 5000mg/kg. bwt was found to be safe in the LD50 study of the extract. The oral administration of the extract showed a significantly  (p<0.05) level of  total protein (TP)  ,packed cell volume (PCV), haemoglobin (Hb) and red blood cells (RBCs) of the animals in treated groups  compared to those of the animals in anaemic groups.The aspartate transaminase (AST),alanine transaminase (ALT)and total bilirubin (TB)were significantly (p<0.05)  lowered in the extract treated groups than  in the anaemic non-treated groups. There was a no-significant decrease (p>0.05) in the serum urea, creatinine, Na+ ,K+  and ,Cl­- of animals in the extract treated groups when  compared to both the normal and standard control . The histology of the spleen revealed the regeneration of damaged cells in extract treated groups unlike that of the anaemic non-treated groups which showed distorted architecture. The study suggests that treatment with Achornea cordifolia leaf extract in phenyl hydrazine induced anaemia enhances anti- anaemic and hepatoprotective effect possibly due to both its anti-inflammatory and antioxidant properties.","rct","Global Journal of Pure and Applied Sciences","","10.4314/gjpas.v28i2.12","https://consensus.app/papers/antianaemic-and-hepato%E2%80%93renal-activities-of-ethanol-leaf-p-c/a640881256095cb0b74e4804d4029ac3/"
"HPLC profiling and studies on Copaifera salikounda methanol leaf extract on phenylhydrazine-induced hematotoxicity and oxidative stress in rats","Copaifera salikounda methanol leaf extract (CSMLE) possesses anti-anemic potentials and attenuates spleenotoxic effects of phenylhydrazine in rats.","C. Aloke, Chinedum Uche Emelike, Nwogo Ajuka Obasi, Patience Nkemjika Ogbu, Chuks Oswald Edeogu, Chinedu Godwin Uzomba, O. Ekakitie, Adeolu Adewale Iyaniwura, Chukwubuike Cyprian Okoro, Blessing Peter Okey, Glory Ginikachukwu Aninjoku, Bature Charles Ushahemba",2021,9,"","","Arabian Journal of Chemistry","1","10.1016/j.arabjc.2021.103428","https://consensus.app/papers/hplc-profiling-and-studies-on-copaifera-salikounda-aloke-emelike/adda43dab6735ccd9b144b9981ebc3bd/"
"Anti-anemic and protective effects of Grona triflora ethanol leaf extract on phenylhydrazine-induced anemia in albino rats","Grona triflora ethanol leaf extract shows hematinic and protective properties, supporting its traditional use in anemia management.","MadubogwuNgozi Ukamaka, Orabuche Gertrude Chiamaka, Iloh Ezinne Stephanie, Onwudiwe Tharcitus Chilaka, Chukwurah Ifeoma Blessing, Ezeagha Chigozie Celestina",2026,0,"Anemia is a global health condition characterized by reduced hemoglobin concentration and impaired oxygen transport. Medicinal plants rich in antioxidants and micronutrients are increasingly explored as alternative therapies. This study evaluated the anti-anemic effects of Grona triflora ethanol leaf extract in phenylhydrazine-induced anemia in albino rats. Extraction was done using cold maceration method. Acute toxicity was determine using Lorkes method. Thirty (30) Albino rats were used. Anemia was induced through intraperitoneal injection of phenylhydrazine at 60 mg/kg for 3 days. Rats with packed cell volume less than 29% were grouped into six groups of five rats each. Group I was the normal control while II was the negative control. Group III received 2 mg/kg Ferrous sulphate while groups IV, V and V received 250, 500 and 1000 mg/kg Grona triflora extract orally for three weeks. Automatic counter was used to investigate the effect of Grona triflora ethanol leaf extract on phenyl hydrazine induced anemia. The LD50 was 5000 mg/kg. Ferrous sulphate and different doses of ethanolic leaf extracts of Grona triflora significantly (p<0.05) increased the packed cell volume, haemoglobin, red blood cells, mean corpuscular volume, mean capsulated haemoglobin, and platelets in a dose dependent manner but decreased the white blood cells, lymphocytes and neutrophils within three weeks. These findings suggest that Grona triflora possesses hematinic and protective properties, supporting its traditional use in anemia management.","rct","International Journal of Biological and Pharmaceutical Sciences Archive","","10.53771/ijbpsa.2026.11.2.0045","https://consensus.app/papers/antianemic-and-protective-effects-of-grona-triflora-ukamaka-chiamaka/ae46832aca3058bf88eff09fc17abb38/"
